"","county","state","FIPS","pop_total_2010","pop_total_2011","pop_total_2012","pop_total_2013","pop_total_2014","pop_total_2015","pop_total_2016","pop_total_2017","pop_total_2018","pop_lt_18_2010","pop_lt_18_2011","pop_lt_18_2012","pop_lt_18_2013","pop_lt_18_2014","pop_lt_18_2015","pop_lt_18_2016","pop_lt_18_2017","pop_lt_18_2018","pop_18_to_64_2010","pop_18_to_64_2011","pop_18_to_64_2012","pop_18_to_64_2013","pop_18_to_64_2014","pop_18_to_64_2015","pop_18_to_64_2016","pop_18_to_64_2017","pop_18_to_64_2018","pop_gt_65_2010","pop_gt_65_2011","pop_gt_65_2012","pop_gt_65_2013","pop_gt_65_2014","pop_gt_65_2015","pop_gt_65_2016","pop_gt_65_2017","pop_gt_65_2018","pop_median_2010","pop_median_2011","pop_median_2012","pop_median_2013","pop_median_2014","pop_median_2015","pop_median_2016","pop_median_2017","pop_median_2018","pop_pct_change_2016_17","pop_pct_change_2010_11","pct_gt_high_school","pct_gt_bachelors","pct_public_ins_lt_65","pct_public_ins_lt_19","pct_public_ins_19_to_64","unemployment_pct","pct_married_15_over","pct_2_plus_races","pct_white","pct_black","pct_am_ind_AK_native","pct_asian","pct_HA_pacific_islander","pct_hispanic","med_hh_income","pct_govt_cash_asst","pct_food_stamps","pct_lt_poverty","pct_private_ins_lt_65","pct_private_ins_lt_19","pct_private_ins_19_to_64"
"1","Autauga","Alabama",1001,54571,55208,54936,54713,54876,54838,55242,55443,55601,14614,14371,14153,13734,13605,13397,13326,13240,13163,33414,33966,33582,33555,33662,33590,33815,33812,33785,6546,6871,7201,7424,7609,7851,8101,8391,8653,37.1,37.3,37.7,38.1,38.2,38.6,38.7,38.8,39.1,0.36385359,1.167286654,87.7,25,21.6992704,38.047138,14.464003,3.9,56.1,1.7,76.6,19.1,0.3,0.9,0.1,2.7,72110,1.3,12.9,10.9,0.724492651,0.609638047,0.775325199
"2","Baldwin","Alabama",1003,182265,186540,190143,194886,199189,202995,207712,212619,218022,41898,42657,43015,43799,44357,44984,45544,46399,47110,109798,112075,113587,115940,117899,119478,121688,123746,126341,30568,31808,33541,35147,36933,38533,40480,42474,44571,41.2,41.4,41.7,41.9,42.2,42.4,42.8,43,43.3,2.362405639,2.345485968,90.2,30.7,20.3072898,35.7772994,13.9588259,4.1,52.4,1.6,86.5,9.5,0.8,0.7,0,4.4,73061,1.7,8.1,8.2,0.709566883,0.648558524,0.734603026
"3","Barbour","Alabama",1005,27457,27350,27174,26944,26758,26294,25819,25158,24881,6015,5925,5817,5700,5665,5578,5475,5249,5192,17533,17409,17174,16937,16669,16156,15663,15149,14857,3909,4016,4183,4307,4424,4560,4681,4760,4832,39.1,39.4,39.7,39.8,39.9,40,40.3,40.9,40.9,-2.560130137,-0.389700259,73.1,12,37.7919544,64.4693701,26.0552688,5.8,41.7,0.8,46.6,48,0.2,0.6,0,4.2,45445,2.6,26.5,20.5,0.53329467,0.3594478,0.609778318
"4","Bibb","Alabama",1007,22915,22747,22664,22516,22541,22562,22576,22555,22400,5202,4982,4853,4780,4725,4674,4690,4642,4587,14812,14767,14664,14517,14464,14454,14371,14286,14123,2906,2998,3147,3219,3352,3434,3515,3627,3690,37.9,38.4,38.8,39.2,39.5,39.7,39.7,39.8,40,-0.093019135,-0.733144229,82.1,13.2,27.29322,45.1482752,20.1231367,4.4,48.2,0.8,76.7,22.1,0.4,0,0,2.4,61099,6.2,12.8,11.9,0.704063349,0.625781723,0.735499028
"5","Blount","Alabama",1009,57322,57554,57570,57611,57521,57522,57517,57827,57840,14106,14058,13892,13809,13592,13486,13447,13483,13392,34776,34816,34632,34420,34185,34040,33876,33998,33900,8439,8680,9046,9382,9744,9996,10194,10346,10548,39.1,39.3,39.7,40,40.5,40.7,40.9,40.8,40.9,0.538971087,0.404731168,79.8,13.1,22.4097604,37.991573,15.7298973,4,58.5,1.7,95.5,1.6,0.4,0.1,0,9,58974,1.2,10.7,11.1,0.691805213,0.613061798,0.725562212
"6","Bullock","Alabama",1011,10914,10677,10607,10551,10665,10400,10381,10176,10138,2430,2378,2276,2219,2214,2131,2141,2120,2137,7014,6850,6838,6802,6889,6674,6612,6421,6340,1469,1449,1493,1530,1562,1595,1628,1635,1661,38.5,38.8,39.1,39.3,39.3,39.6,39.5,39.5,39.2,-1.974761584,-2.171522815,71.4,13.4,39.0606836,77.5929978,25.1226848,4.9,30.2,0.7,21.9,75.6,1,0.7,0,0.3,42317,4.6,24.6,29.7,0.473959544,0.227133479,0.563242045
"7","Butler","Alabama",1013,20947,20878,20687,20374,20343,20176,20029,19898,19680,5056,4994,4896,4736,4700,4616,4555,4502,4378,12399,12371,12228,12005,11953,11815,11649,11495,11307,3489,3513,3563,3633,3690,3745,3825,3901,3995,40.1,40.2,40.2,40.7,40.7,40.8,41,41.2,41.7,-0.654051625,-0.329402778,81.1,16.1,31.3415385,52.7395811,22.5635685,5.5,40.8,1.5,52.4,44.9,0.1,1.1,0,0.3,47812,1.5,19.3,19.3,0.6064,0.519356886,0.64210709
"8","Calhoun","Alabama",1015,118572,117797,117257,116541,115995,115536,115018,114664,114277,27128,26757,26300,25928,25706,25480,25279,25017,24695,74464,73761,73154,72463,71698,71079,70324,69770,69335,16990,17279,17803,18150,18591,18977,19415,19877,20247,38.3,38.7,38.9,39,39.2,39.5,39.6,39.8,40,-0.307777913,-0.653611308,83.2,17.9,29.2518076,51.2935635,20.4770207,5,48.4,2.3,74.6,20.5,0.4,1,0,3.6,58788,1.6,17.8,14.9,0.649282196,0.531299452,0.696250934
"9","Chambers","Alabama",1017,34215,34030,34104,34143,33980,34007,33771,33758,33615,7687,7493,7417,7321,7261,7227,7108,7100,6992,20779,20696,20690,20733,20516,20475,20289,20205,20061,5706,5841,5997,6089,6203,6305,6374,6453,6562,41.7,41.9,42,42.1,42.4,42.5,42.6,42.5,42.7,-0.038494566,-0.540698524,80.9,13.3,29.7603851,56.3559322,19.650677,4.1,44.8,1,57.7,39.3,0.3,1,0,2.2,51434,1.1,16.4,14,0.598964222,0.418432203,0.66758947
"10","Cherokee","Alabama",1019,25989,25994,25963,26025,25902,25739,25776,25815,26032,5563,5519,5458,5418,5321,5194,5165,5068,4990,15773,15709,15525,15396,15173,14966,14891,14874,15062,4651,4766,4980,5211,5408,5579,5720,5873,5980,44,44.3,44.7,45,45.3,45.9,46.1,46.5,46.9,0.151303538,0.019238909,79.5,12.5,30.5061357,50.8496254,22.9923067,4.1,58.8,1,93.1,5,0.5,0.2,0,1.6,54671,1.4,17.2,12.8,0.647134197,0.52822949,0.691051424
"11","Chilton","Alabama",1021,43643,43687,43582,43634,43769,43717,43896,44117,44153,10959,10845,10722,10590,10654,10653,10630,10641,10491,26754,26800,26595,26635,26550,26350,26330,26291,26251,5921,6042,6265,6409,6565,6714,6936,7185,7411,37.6,38,38.2,38.6,38.7,38.8,39.2,39.4,39.6,0.50346273,0.100818001,81.8,15.1,25.7007061,48.3020918,16.0181557,4.1,53,1.7,83.3,9.6,0.6,0.4,0,7.7,59036,2.1,18.2,16,0.617599131,0.50203749,0.667106335
"12","Choctaw","Alabama",1023,13859,13607,13561,13396,13317,13233,13049,12935,12841,3141,2985,2893,2804,2744,2719,2647,2592,2567,8199,8022,7980,7849,7795,7678,7501,7389,7321,2519,2600,2688,2743,2778,2836,2901,2954,2953,43.5,44.1,44.5,45,45.1,45.3,45.9,46.3,46.5,-0.873630163,-1.81831301,80.1,11.6,34.6938776,53.3496162,27.4919181,6.3,47.4,1,56.5,42.3,0,0.1,0,0.5,48466,0.4,25.7,17.4,0.577065112,0.501744592,0.606142241
"13","Clarke","Alabama",1025,25833,25582,25154,25122,24865,24703,24349,24097,23920,6389,6154,5897,5774,5629,5526,5364,5262,5195,15270,15215,14914,14914,14739,14637,14361,14160,13972,4174,4213,4343,4434,4497,4540,4624,4675,4753,40.3,40.7,41.2,41.4,41.7,41.8,42.3,42.5,42.7,-1.034950101,-0.97162544,81.5,13,36.5294973,60.339159,26.8204911,8.5,46.3,0.4,53.2,45.7,0.1,0.5,0.1,0.2,50851,1,19.4,17.8,0.561124756,0.424467901,0.616850127
"14","Clay","Alabama",1027,13932,13686,13432,13404,13440,13413,13393,13367,13275,3144,3070,2966,2908,2906,2873,2813,2745,2688,8339,8194,8010,7992,7968,7928,7884,7889,7836,2449,2422,2456,2504,2566,2612,2696,2733,2751,42.1,42.4,42.8,43,43.3,43.5,43.8,44.2,44.5,-0.194131263,-1.765719208,73.3,10.3,26.8570362,47.5097025,18.4811123,4.3,53.6,1,83.2,14.8,0.9,0,0,3.1,51364,2.7,14.9,15,0.621033968,0.510025873,0.666054565
"15","Cleburne","Alabama",1029,14972,14928,14889,14976,15025,14917,14853,14906,14987,3551,3489,3462,3454,3520,3441,3430,3422,3412,9060,8997,8875,8875,8773,8709,8642,8642,8660,2361,2442,2552,2647,2732,2767,2781,2842,2915,40.6,41.1,41.3,41.5,41.5,41.9,42.2,42.5,42.5,0.35683027,-0.293881913,75.8,12.4,29.6992793,47.5706835,21.9743711,4.5,54.6,1.4,94.6,2.8,0.3,0.5,0,2.4,51607,1.8,15.6,12.2,0.593157154,0.524293165,0.622923588
"16","Coffee","Alabama",1031,49948,50435,51136,50677,50655,50952,51145,51777,51909,12086,12256,12206,11993,12002,12088,12158,12271,12280,30656,30842,31297,30829,30612,30654,30550,30870,30828,7210,7337,7633,7855,8041,8210,8437,8636,8801,37.7,37.9,38.2,38.8,39.1,39.2,39.3,39.2,39.4,1.235702415,0.975014015,85.4,22.7,25.2490735,41.0434376,18.1998538,4.4,52.7,3.2,76.3,17.3,1.1,1.3,0,6.7,65863,0.8,13.3,13.1,0.684699427,0.584808547,0.72928196
"17","Colbert","Alabama",1033,54428,54535,54572,54533,54468,54370,54367,54509,54762,12034,11982,11897,11793,11726,11633,11535,11429,11370,32931,32997,32923,32785,32572,32394,32291,32396,32478,9463,9556,9752,9955,10170,10343,10541,10684,10914,41.9,42,42.1,42.3,42.4,42.5,42.6,42.5,42.5,0.261187853,0.19658999,83.9,18.8,22.9840822,35.8409588,17.9539982,5.2,51.8,2,79.6,16,0.7,0.5,0,2.4,56372,1.3,12.5,12.9,0.720424476,0.66620779,0.741636041
"18","Conecuh","Alabama",1035,13228,13192,13044,12911,12679,12680,12501,12435,12277,3043,2941,2894,2829,2706,2729,2669,2601,2550,7828,7813,7627,7503,7330,7255,7130,7106,6965,2362,2438,2523,2579,2643,2696,2702,2728,2762,43.2,43.5,43.6,43.8,44.4,44.3,44.5,44.9,45.2,-0.527957763,-0.272149985,79,8.8,30.9789717,52.885906,21.5979307,6.1,43.3,2,51.3,46.5,0.2,0,0,1.8,39554,2.2,17.6,21.9,0.542308079,0.436577181,0.587584423
"19","Coosa","Alabama",1037,11539,11487,11347,11256,11038,10938,10826,10757,10715,2371,2261,2125,2053,1973,1896,1825,1771,1777,7411,7200,7110,7029,6812,6741,6641,6546,6457,1970,2026,2112,2174,2253,2301,2360,2440,2481,44.1,44.8,45.6,45.7,46.8,47.5,48,48.6,49,-0.637354517,-0.450645637,76.8,11,31.6905651,55.4587391,24.3856333,4.7,44.2,1.3,65.4,33.2,0.1,0,0,0.1,48059,0.8,14.1,8.6,0.653331727,0.515633009,0.695652174
"20","Covington","Alabama",1039,37765,38019,37804,37812,37756,37551,37382,37078,36986,8523,8545,8421,8433,8357,8289,8231,8090,8089,22304,22427,22154,22040,21927,21767,21554,21284,21107,6939,7047,7229,7339,7472,7495,7597,7704,7790,42.4,42.4,42.5,42.7,42.9,43.1,43.2,43.6,43.6,-0.813225617,0.672580432,82,15.5,23.8138655,41.2980378,16.6428571,5.2,54,1.2,84.6,13.2,0.3,0.4,0,1.6,53372,0.8,14,13.2,0.657549049,0.554858934,0.699666667
"21","Crenshaw","Alabama",1041,13906,13899,13921,13854,13859,13857,13922,13861,13824,3308,3271,3236,3177,3143,3154,3218,3188,3160,8385,8381,8346,8253,8235,8210,8139,8074,8035,2210,2247,2339,2424,2481,2493,2565,2599,2629,40.8,40.8,41.2,41.5,41.8,41.6,41.7,41.8,41.8,-0.438155437,-0.050337984,79.3,16.3,27.6676694,44.1589483,20.7291012,4.5,48.9,1.7,71.5,23.6,0.8,1.4,0,1.8,52395,1.9,18.4,13.5,0.653335693,0.576635793,0.685606537
"22","Cullman","Alabama",1043,80406,80401,80273,80688,81067,81764,82456,82836,83442,18639,18445,18224,18239,18314,18481,18652,18624,18757,48956,48931,48543,48560,48529,48735,48882,49016,49239,12810,13025,13506,13889,14224,14548,14922,15196,15446,40,40.4,40.6,40.7,40.7,40.7,40.8,40.9,40.9,0.460851848,-0.006218441,82.1,14.9,23.3005199,44.171875,14.8713742,3.8,56.3,1.3,95.5,1.2,0.4,0.6,0,4.2,55135,1.3,12.2,12.3,0.642168982,0.534583333,0.685618729
"23","Dale","Alabama",1045,50251,50112,50284,49772,49417,49349,49301,49254,48956,12477,12266,12173,11823,11726,11550,11424,11374,11247,31016,30903,30911,30532,30075,30023,29912,29804,29439,6759,6943,7200,7417,7616,7776,7965,8076,8270,36.2,36.6,36.7,37.1,37.3,37.4,37.8,37.8,38,-0.095332752,-0.276611411,86,16.8,28.3538703,44.1799376,21.1307182,4.5,50.4,3.9,73.3,19.4,0.5,1,0,6.1,57087,1.2,18.1,15.5,0.631054974,0.554506649,0.665992282
"24","Dallas","Alabama",1047,43820,43256,42795,41983,41562,40948,40092,39235,38310,11595,11263,11075,10720,10490,10200,9847,9528,9121,26060,25787,25331,24810,24527,24034,23492,22891,22268,6165,6206,6389,6453,6545,6714,6753,6816,6921,37.7,37.8,37.9,38.2,38.3,38.6,38.9,39.4,40,-2.137583558,-1.287083524,81.3,14.2,41.5766707,71.9669204,27.7225602,7.5,35.7,0.7,28.2,70.4,0,0.4,0.1,1,44023,2,31.9,25.7,0.484506959,0.292453717,0.57205895
"25","DeKalb","Alabama",1049,71109,71352,70937,70911,70999,71112,71101,71404,71385,18370,18251,17866,17637,17539,17517,17445,17417,17188,42870,43031,42587,42528,42265,42117,41845,41885,41875,9875,10070,10484,10746,11195,11478,11811,12102,12322,37.6,37.8,38.3,38.6,38.9,39.1,39.3,39.6,39.9,0.426154344,0.341728895,73.6,13,30.6740004,59.1130578,18.0619628,4.5,51.7,2.4,86.3,1.5,1.4,0.3,0.9,14.3,52462,1.5,17.9,16.2,0.563691107,0.413851629,0.63014131
"26","Elmore","Alabama",1051,79303,80009,80216,80569,80568,80924,81263,81416,81887,18706,18611,18505,18505,18295,18301,18174,18258,18211,51153,51554,51320,51289,51111,51157,51287,51088,51276,9436,9844,10391,10775,11162,11466,11802,12070,12400,37.8,37.9,38,38.1,38.4,38.5,38.7,38.7,38.9,0.188277568,0.890256359,86.4,22.8,21.9434236,37.6266805,15.2657303,3.7,50.3,1.6,75.2,21.4,0.3,0.6,0,2.9,71437,1.4,13.9,10.2,0.746131991,0.638831437,0.791818942
"27","Escambia","Alabama",1053,38319,38201,38023,37763,37738,37665,37488,36999,36748,8679,8621,8510,8404,8426,8359,8320,8319,8219,23828,23671,23492,23224,23072,22971,22739,22195,21933,5812,5909,6021,6135,6240,6335,6429,6485,6596,39.2,39.4,39.6,39.8,39.9,39.9,39.9,40,40.1,-1.304417414,-0.30794123,81,12.1,25.2489257,40.2789982,18.2386393,5,43.6,1.3,61.4,32.2,3.6,0.4,0.1,2.2,48727,1.6,18.7,17.9,0.587569437,0.507249561,0.62503202
"28","Etowah","Alabama",1055,104430,104358,104273,103883,103407,103003,102849,102937,102501,23985,23770,23487,23073,22788,22546,22396,22221,21997,63934,63949,63649,63198,62628,62105,61690,61527,61017,16508,16639,17137,17612,17991,18352,18763,19189,19487,40.3,40.5,40.8,41.1,41.3,41.5,41.7,41.8,41.9,0.085562329,-0.068945705,83.1,16.9,28.2076164,49.6495866,19.7863959,4.6,48.9,1.5,80.9,15.6,0.7,0.7,0.1,3.7,55354,1,15.4,13.9,0.627393434,0.513156238,0.672259489
"29","Fayette","Alabama",1057,17241,17047,16941,16819,16768,16693,16555,16474,16433,3833,3727,3683,3643,3638,3599,3532,3495,3472,10315,10273,10149,9995,9879,9764,9618,9533,9489,3084,3047,3109,3181,3251,3330,3405,3446,3472,42.6,42.8,42.8,43.1,43.3,43.4,43.7,43.8,43.6,-0.489278164,-1.125224755,79.6,14.6,32.41014,53.1725223,23.9868099,4.7,56.7,1.9,85.5,12.1,0,0.5,0,1.7,50889,1.9,18.6,13.7,0.646916383,0.518091243,0.699180938
"30","Franklin","Alabama",1059,31704,31771,31689,31552,31561,31541,31654,31590,31363,7870,7829,7774,7685,7704,7735,7797,7766,7695,19014,19126,18994,18879,18850,18725,18708,18594,18372,4825,4816,4921,4988,5007,5081,5149,5230,5296,37.9,38,38.2,38.3,38.3,38.5,38.6,38.9,39.2,-0.202186138,0.211329801,76.4,13.4,29.6390771,58.0360472,17.101147,4.3,49.7,0.8,85.9,4.8,0.9,0.4,0.1,16.3,50902,1.6,19.6,17.5,0.599596436,0.416407707,0.680478569
"31","Geneva","Alabama",1061,26790,26759,26927,26682,26597,26636,26498,26410,26314,5991,5945,5982,5963,5897,5892,5862,5849,5768,16122,16079,16075,15805,15636,15567,15442,15291,15205,4674,4735,4870,4914,5064,5177,5194,5270,5341,42,42.4,42.4,42.6,42.8,43.1,43.3,43.3,43.4,-0.332100536,-0.115714819,79,11.1,30.020636,56.217079,19.1206748,4.3,54,2.1,86.6,9.2,0.7,0.4,0,3.8,51025,1.2,16.8,16.8,0.571803771,0.438467678,0.627282991
"32","Greene","Alabama",1063,9045,8905,8850,8749,8585,8509,8483,8318,8233,2194,2110,2057,2024,1985,1942,1889,1828,1825,5395,5345,5293,5173,5006,4913,4876,4724,4571,1454,1450,1500,1552,1594,1654,1718,1766,1837,41.8,42.2,42.3,42.4,42.7,43,43,43.3,43.4,-1.945066604,-1.547816473,76.6,11.4,44.8295951,80.8795411,29.0322581,7.6,30.9,2,17.1,80.3,0.6,0,0,1.2,34525,3.7,39.8,33.4,0.448732887,0.173040153,0.56954336
"33","Hale","Alabama",1065,15760,15358,15360,15247,15047,15018,14835,14809,14726,3915,3688,3680,3603,3549,3553,3483,3437,3394,9475,9265,9192,9090,8899,8813,8624,8587,8503,2370,2405,2488,2554,2599,2652,2728,2785,2829,40,40.5,40.4,40.7,40.9,40.7,40.7,40.7,40.6,-0.175261207,-2.550761421,81.1,14.4,37.4241679,55.4468535,29.3250951,6,39.9,0.3,39.5,58.7,0.2,0.2,0,1.3,50103,1.7,25.3,21.2,0.559108051,0.466155473,0.600879278
"34","Henry","Alabama",1067,17302,17377,17156,17132,17082,17106,17083,17140,17209,3918,3910,3781,3675,3643,3622,3557,3556,3547,10338,10334,10137,10067,9953,9900,9842,9783,9752,3044,3133,3238,3390,3486,3584,3684,3801,3910,42.8,42.6,43.1,43.6,43.9,44,44.3,44.6,44.8,0.333665047,0.433475899,80.6,17.1,29.8652973,51.7511762,21.1528457,4.9,54.6,0.9,71,27.8,0,0,0,2.5,58905,1.4,16.5,11.7,0.617995088,0.484056456,0.671314119
"35","Houston","Alabama",1069,101547,102470,103365,103638,104156,104268,104239,104373,104722,24926,24899,24934,24829,24736,24569,24351,24192,24120,61950,62416,62663,62573,62594,62482,62236,62058,61963,14675,15155,15768,16236,16826,17217,17652,18123,18639,38.5,38.8,39,39,39.2,39.4,39.6,39.8,39.9,0.128550734,0.908938718,85.3,20.9,27.3355599,49.5920996,17.9284972,4.4,45.9,2,69.4,26.7,0.4,0.9,0,3.2,61526,1.3,15,14.4,0.632375452,0.495803896,0.690099484
"36","Jackson","Alabama",1071,53227,53209,53077,52958,52562,52218,52048,51907,51736,11985,11819,11776,11652,11411,11208,11075,10986,10806,32468,32401,32041,31787,31428,31140,30991,30778,30557,8773,8989,9260,9519,9723,9870,9982,10143,10373,41.5,41.9,42,42.3,42.7,43,43.2,43.4,43.7,-0.270903781,-0.033817423,81.4,13.4,27.7793561,51.4865662,18.5102249,4.8,55.1,2.9,91,3.2,1.1,0.5,0.1,2.9,50956,1.8,12.9,15.5,0.649100379,0.533226649,0.694405111
"37","Jefferson","Alabama",1073,658466,657973,657967,659196,659918,660370,660326,659546,659300,154526,153705,153003,152850,152617,152797,151907,150932,150071,417542,417186,415364,414629,413189,411155,409488,407004,404682,86443,87082,89600,91717,94112,96418,98931,101610,104547,37.1,37.2,37.3,37.4,37.5,37.5,37.6,37.8,37.9,-0.118123472,-0.074870988,89.4,31.9,24.1571545,43.0862983,16.5151332,4.3,43.1,1.6,52.1,42.6,0.2,1.5,0,3.7,71979,1.7,15.2,13.8,0.681202827,0.557938899,0.730966597
"38","Lamar","Alabama",1075,14564,14287,14245,14210,14067,13925,13927,13902,13844,3227,3158,3116,3130,3059,3001,3017,3026,2961,8605,8402,8325,8231,8113,7986,7933,7871,7885,2732,2727,2804,2849,2895,2938,2977,3005,2998,43.5,43.7,43.7,43.8,44.2,44.3,44.2,44.3,44.5,-0.179507432,-1.901950014,79.5,13.3,28.9614029,53.1680441,18.8173422,4.2,59,0.6,87.5,10.8,0.3,0,0,1.5,50252,4,18.2,15.9,0.621621622,0.416896235,0.707414058
"39","Lauderdale","Alabama",1077,92709,92606,92664,92706,93013,92477,92457,92591,92387,19982,19751,19403,19162,19071,18765,18581,18407,18168,57174,57148,57039,56936,56916,56370,56140,56004,55656,15553,15707,16222,16608,17026,17342,17736,18180,18563,40.5,40.7,40.9,41,41,41.3,41.4,41.4,41.6,0.144932239,-0.111100325,85.9,22.5,22.4525274,44.0561544,14.5946932,4.7,50.3,1.7,86.9,10.1,0.4,0.7,0,2.5,60437,1.2,13.9,11.3,0.6949318,0.582150915,0.735953314
"40","Lawrence","Alabama",1079,34339,34049,33807,33577,33448,33138,33233,33077,32957,7964,7713,7568,7352,7269,7194,7238,7139,7115,21376,21178,20872,20728,20533,20163,20065,19903,19691,4999,5158,5367,5497,5646,5781,5930,6035,6151,40.7,41.2,41.7,42.1,42.4,42.5,42.6,42.9,43,-0.469412933,-0.844520807,78,10.2,25.5319922,45.1044386,17.9897374,5,55.5,5.3,78,11.4,5.2,0.1,0,2.1,55399,1.4,17.1,13.5,0.682220931,0.548825065,0.733625113
"41","Lee","Alabama",1081,140247,144130,148581,151831,154545,157009,159297,161641,163941,31609,32017,32730,33173,33475,33799,34139,34364,34893,95974,98728,101513,103515,105150,106405,107512,108684,109567,12716,13385,14338,15143,15920,16805,17646,18593,19481,29.6,29.8,30,30.2,30.6,31,31.4,31.8,32.3,1.47146525,2.768686674,89.9,34.9,18.6447659,37.9959133,11.403291,4,43.4,1.8,69.9,23.1,0.1,3.8,0,3.7,66708,1.2,12.1,13.3,0.757323929,0.638378048,0.801835172
"42","Limestone","Alabama",1083,82782,85542,87313,88910,90596,91571,92841,94076,96174,19859,20179,20741,20897,21303,21323,21362,21456,21696,52736,54669,55171,56027,56743,57175,57884,58526,59870,10187,10694,11401,11986,12550,13073,13595,14094,14608,38.5,38.7,38.7,38.9,39.1,39.3,39.6,39.9,40,1.330231256,3.334058129,83.7,24.6,20.0758873,37.4615487,12.7826298,4,52,2.1,81.6,13.1,0.8,1.3,0.1,5.8,70378,1.7,12.9,11.2,0.705725804,0.623824172,0.74008341
"43","Lowndes","Alabama",1085,11299,11139,10853,10665,10498,10353,10253,10104,9974,2732,2652,2546,2493,2418,2373,2319,2274,2256,6910,6820,6592,6426,6276,6191,6098,5999,5838,1655,1667,1715,1746,1804,1789,1836,1831,1880,40.6,40.1,40.5,40.4,40.8,40.9,41.3,41.8,41.7,-1.4532332,-1.416054518,76,13.7,42.7867121,63.0880579,34.4164456,8.3,36.7,0.7,24.7,74.5,0.1,0,0,0.7,44985,3.1,33.4,24.7,0.474586219,0.293928428,0.549071618
"44","Macon","Alabama",1087,21452,21281,20611,20026,19648,19306,19064,18811,18439,4420,4161,3870,3695,3580,3456,3353,3230,3118,13997,14084,13593,13071,12736,12428,12207,11955,11565,3031,3036,3148,3260,3332,3422,3504,3626,3756,36.2,35.8,37.2,37.8,38,38.3,38.5,38.8,39.4,-1.327108687,-0.797128473,81.6,20.1,33.0882819,65.2303861,22.1183271,5.8,32,0.8,15.8,82.2,0.3,0.2,0,1.6,47570,1.4,28,20.4,0.610368211,0.386052304,0.686926216
"45","Madison","Alabama",1089,334811,339527,342713,346633,349807,352989,356821,361665,366519,79490,79324,78779,78709,78670,78880,78906,79562,79966,214448,218049,219890,222020,223408,224676,226647,229047,231428,40873,42154,44044,45904,47729,49433,51268,53056,55125,37.4,37.6,37.9,38,38.2,38.3,38.5,38.5,38.6,1.357543418,1.408555872,90.8,40.6,17.4069272,33.781009,11.0640443,3.9,49.9,3,68.5,24.2,0.6,2.6,0.1,4.7,83287,2.1,10.8,10.2,0.756712343,0.652364921,0.797133754
"46","Marengo","Alabama",1091,21027,20651,20367,20114,19980,19760,19516,19366,19066,5194,4954,4821,4673,4594,4560,4454,4415,4335,12418,12271,11991,11841,11739,11502,11315,11220,10994,3424,3426,3555,3600,3647,3698,3747,3731,3737,40.4,40.7,41,41.3,41.4,41.2,41.7,41.7,41.8,-0.768600123,-1.788177106,83.2,15.4,33.5710711,55.772755,23.7243746,5.6,43.4,0.2,45.4,54.1,0.1,0,0,0.4,50809,1.3,24.1,17.4,0.601163664,0.466300143,0.660977152
"47","Marion","Alabama",1093,30776,30651,30487,30228,30202,30123,29964,29771,29763,6665,6592,6568,6433,6402,6346,6343,6222,6183,18466,18367,18094,17829,17723,17612,17371,17262,17259,5645,5692,5825,5966,6077,6165,6250,6287,6321,42.8,43,43.1,43.5,43.7,43.9,44.1,44.3,44.3,-0.644106261,-0.406160645,80.7,13.4,24.9334516,44.400607,17.4210927,4.8,55.8,1.9,93.3,3.3,0.4,0.3,0,2.5,51388,1.8,15.8,13.9,0.680441121,0.556449165,0.728289512
"48","Marshall","Alabama",1095,93019,93892,94268,94370,94277,94606,95123,95609,96109,23259,23409,23532,23472,23365,23504,23635,23852,23936,55898,56468,56201,55988,55668,55546,55629,55672,55798,13862,14015,14535,14910,15244,15556,15859,16085,16375,38.2,38.3,38.4,38.6,38.8,38.8,38.8,38.8,38.8,0.510917444,0.938517937,80,17.7,27.5798565,52.6021174,16.1735883,3.9,53.5,1.9,92.6,2.2,0.7,0.6,0.1,13.3,59040,1.3,16.3,15.8,0.584708198,0.463756946,0.639843201
"49","Mobile","Alabama",1097,412992,413242,413922,414210,414590,414935,415499,414515,413757,103584,102127,100933,99888,99483,98941,98544,97768,96711,256141,256535,256183,255767,254861,254069,253258,251347,250005,53321,54580,56806,58555,60246,61925,63697,65400,67041,36.7,36.8,37,37.1,37.2,37.4,37.5,37.7,37.9,-0.236823675,0.06053386,86.3,23,26.7151818,49.464426,16.9053944,5.2,44.4,1.9,59.3,35.3,0.6,2,0,2.8,62172,1.5,17.6,15.3,0.635472445,0.50277847,0.692691915
"50","Monroe","Alabama",1099,23068,22796,22582,22171,21927,21717,21545,21302,21067,5840,5638,5472,5282,5104,4998,4870,4663,4543,13609,13479,13328,13023,12868,12735,12642,12485,12249,3618,3679,3782,3866,3955,3984,4033,4154,4275,40.2,40.6,41,41.6,42.1,42.3,42.5,43.2,43.5,-1.127871896,-1.179122594,83,12.5,33.9738488,62.2058824,21.3333333,6.7,43,1.6,55.1,41.5,1.3,0.5,0,1.3,41827,1.6,17,26.6,0.524900512,0.371323529,0.593662551
